#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"34,204,164","+399,822","470,852","+3,290","29,740,843","+280,566","3,992,469","29,611",Asia
30,Israel,"837,218",+171,"6,341",+6,"828,686",+198,"2,191",187,"91,026",689,"13,977,443","1,519,685","9,197,590",Asia,11,"1,450",1
31,Portugal,"831,221",+220,"16,946",+1,"789,216",+547,"25,059",112,"81,709","1,666","9,784,610","961,832","10,172,888",Europe,12,600,1
32,Pakistan,"761,437","+5,152","16,316",+73,"662,845","+3,362","82,276","4,515","3,395",73,"11,204,529","49,953","224,300,855",Asia,295,"13,747",20
33,Hungary,"753,188","+2,680","25,381",+197,"458,212","+3,183","269,595","1,052","78,126","2,633","5,144,130","533,585","9,640,700",Europe,13,380,2
34,Bangladesh,"723,221","+4,271","10,497",+112,"621,300","+6,364","91,424","4,357",63,"5,194,219","31,291","165,998,155",Asia,230,"15,814",32
35,Jordan,"689,482","+3,509","8,308",+62,"644,486","+6,005","36,688",729,"67,045",808,"6,502,520","632,299","10,283,931",Asia,15,"1,238",2
36,Serbia,"664,972","+2,604","6,026",+35,"594,605","+5,070","64,341",217,"76,353",692,"3,695,993","424,380","8,709,164",Europe,13,"1,445",2
37,Switzerland,"637,304","+4,905","10,521",+13,"570,159","56,624",232,"73,210","1,209","6,538,153","751,067","8,705,157",Europe,14,827,1
38,Austria,"595,540","+2,117","9,922",+24,"557,467","+2,249","28,151",570,"65,824","1,097","29,014,550","3,206,931","9,047,452",Europe,15,912,0
39,Japan,"534,052","+4,223","9,641",+19,"483,052","+2,259","41,359",738,"4,233",76,"10,918,947","86,544","126,166,238",Asia,236,"13,086",12
40,Lebanon,"511,398",+995,"6,959",+34,"429,598","+5,750","74,841",785,"75,195","1,023","3,834,228","563,779","6,800,944",Asia,13,977,2
41,Morocco,"505,949",+138,"8,952",+7,"492,100",+290,"4,897",249,"13,579",240,"6,167,072","165,518","37,259,282",Africa,74,"4,162",6
42,UAE,"498,957","+1,803","1,556",+2,"481,326","+1,760","16,075","49,967",156,"41,909,042","4,196,929","9,985,644",Asia,20,"6,418",0
43,Saudi Arabia,"405,940",+970,"6,834",+11,"389,598",+896,"9,508","1,087","11,518",194,"16,231,540","460,529","35,245,402",Asia,87,"5,157",2
44,Bulgaria,"388,815","+2,434","15,412",+217,"310,922","+4,244","62,481",780,"56,297","2,232","2,378,019","344,317","6,906,478",Europe,18,448,3
45,Malaysia,"377,132","+2,078","1,386",+8,"355,224","+1,402","20,522",228,"11,534",42,"8,665,139","265,018","32,696,418",Asia,87,"23,590",4
46,Slovakia,"376,067",+93,"11,172",+66,"255,300","109,595",430,"68,855","2,045","2,505,182","458,677","5,461,758",Europe,15,489,2
47,Panama,"361,044",+203,"6,189",+1,"350,835",+225,"4,020",105,"82,641","1,417","2,303,585","527,278","4,368,824",North America,12,706,2
48,Ecuador,"360,563",+17,"17,703","309,541","33,319",635,"20,192",991,"1,228,745","68,813","17,856,322",South America,50,"1,009",15
49,Belarus,"345,110",+887,"2,433",+10,"335,485",+633,"7,192","36,532",258,"5,676,595","600,899","9,446,835",Europe,27,"3,883",2
50,Greece,"316,879","+1,606","9,540",+78,"275,553","+7,606","31,786",847,"30,521",919,"7,489,656","721,391","10,382,238",Europe,33,"1,088",1
51,Croatia,"308,200",+410,"6,601",+39,"287,787","+2,227","13,812",199,"75,447","1,616","1,703,343","416,979","4,084,963",Europe,13,619,2
52,Azerbaijan,"301,661",+995,"4,169",+29,"265,539","+1,136","31,953","29,540",408,"3,114,879","305,018","10,212,100",Asia,34,"2,450",3
53,Georgia,"295,936",+578,"3,949",+10,"281,574",+659,"10,413","74,299",991,"3,885,539","975,522","3,983,034",Asia,13,"1,009",1
54,Kazakhstan,"289,720","+2,719","3,406",+22,"248,096","+1,773","38,218",221,"15,284",180,"9,624,583","507,740","18,955,722",Asia,65,"5,565",2
55,Bolivia,"289,066",+521,"12,648",+14,"238,195",+882,"38,223",71,"24,497","1,072","1,047,561","88,777","11,799,853",South America,41,933,11
56,Tunisia,"287,061","+1,571","9,825",+42,"236,593","+1,802","40,643",482,"24,088",824,"1,233,451","103,501","11,917,244",Africa,42,"1,213",10
57,Nepal,"285,900","+1,227","3,091",+8,"275,555",+255,"7,254","9,674",105,"2,352,502","79,601","29,553,510",Asia,103,"9,561",13
58,Palestine,"282,270","+1,529","3,047",+30,"249,382","+2,023","29,841",167,"54,330",586,"1,684,585","324,239","5,195,506",Asia,18,"1,705",3
59,Dominican Republic,"261,531",+402,"3,422",+4,"218,988",+264,"39,121",159,"23,918",313,"1,373,143","125,577","10,934,680",North America,42,"3,195",8
60,Kuwait,"258,497","+1,510","1,456",+8,"241,696","+1,231","15,345",254,"59,825",337,"2,228,166","515,677","4,320,855",Asia,17,"2,968",2
61,Paraguay,"252,443","+2,278","5,384",+71,"207,803","+1,920","39,256",510,"35,050",748,"1,026,625","142,540","7,202,362",South America,29,"1,338",7
62,Moldova,"246,238",+341,"5,591",+20,"232,328","+1,093","8,319",260,"61,155","1,389","938,584","233,104","4,026,453",Europe,16,720,4
63,Ireland,"243,911",+403,"4,836","224,995",+524,"14,080",50,"48,961",971,"4,298,712","862,890","4,981,762",Europe,20,"1,030",1
64,Ethiopia,"243,631","+1,603","3,392",+22,"180,645","+1,330","59,594",972,"2,078",29,"2,507,403","21,390","117,221,556",Africa,481,"34,558",47
65,Denmark,"243,374",+741,"2,459",+4,"231,628",+462,"9,287",36,"41,900",423,"32,315,708","5,563,511","5,808,510",Europe,24,"2,362",0
