#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"31,863,919","+332,307","453,311","+2,424","28,198,049","+195,738","3,212,559","28,355",Asia
North America,"36,990,895","+96,083","839,749","+1,382","28,690,229","+77,722","7,460,917","16,594",North America
South America,"22,734,019","+143,471","602,126","+4,770","20,384,027","+179,085","1,747,866","24,167",South America
Europe,"41,958,858","+161,148","958,354","+3,931","29,784,738","+130,172","11,215,766","33,316",Europe
Africa,"4,408,305","+12,155","116,681",+415,"3,944,970","+11,397","346,654","3,658",Africa
Oceania,"60,172",+246,"1,153",+1,"34,700",+2,"24,319",5,Australia/Oceania
721,15,706,0,0
World,"138,016,889","+745,410","2,971,389","+12,923","111,037,419","+594,116","24,008,081","106,095","17,706",381.2,All
1,China,"90,435",+9,"4,636","85,506",+11,293,4,63,3,"160,000,000","111,163","1,439,323,776",Asia,"15,916","310,467",9
2,USA,"32,070,784","+77,720","577,179",+819,"24,626,410","+65,554","6,867,195","9,505","96,447","1,736","422,126,761","1,269,472","332,521,463",North America,10,576,1
3,India,"13,871,321","+185,248","172,115","+1,026","12,332,688","+82,248","1,366,518","8,944","9,975",124,"259,207,108","186,399","1,390,605,073",Asia,100,"8,080",5
4,Brazil,"13,601,566","+80,157","358,718","+3,687","12,074,798","+117,730","1,168,050","8,318","63,636","1,678","28,600,000","133,807","213,741,192",South America,16,596,7
5,France,"5,106,329","+39,113","99,480",+345,"313,051","+2,117","4,693,798","5,952","78,094","1,521","70,448,755","1,077,418","65,386,679",Europe,13,657,1
6,Russia,"4,657,883","+8,173","103,601",+338,"4,281,776","+9,611","272,506","2,300","31,907",710,"124,100,000","850,096","145,983,521",Europe,31,"1,409",1
7,UK,"4,375,814","+2,472","127,123",+23,"3,992,416","+10,604","256,275",377,"64,194","1,865","137,848,442","2,022,273","68,165,116",Europe,16,536,0
8,Turkey,"3,962,760","+59,187","34,455",+273,"3,424,733","+52,104","503,572","2,951","46,594",405,"42,199,485","496,185","85,047,882",Asia,21,"2,468",2
9,Italy,"3,793,033","+13,447","115,088",+476,"3,158,725","+18,160","519,220","3,526","62,807","1,906","53,550,491","886,714","60,392,079",Europe,16,525,1
10,Spain,"3,376,548","+6,292","76,625",+100,"3,114,053","+3,027","185,870","2,152","72,196","1,638","44,285,495","946,899","46,768,976",Europe,14,610,1
11,Germany,"3,031,836","+10,772","79,408",+298,"2,700,200","+16,300","252,228","4,662","36,096",945,"51,559,277","613,846","83,993,775",Europe,28,"1,058",2
12,Poland,"2,599,833","+13,210","59,127",+645,"2,219,655","+21,873","321,051","3,513","68,753","1,564","13,062,929","345,451","37,814,097",Europe,15,640,3
13,Argentina,"2,579,000","+27,001","58,174",+217,"2,262,875","+15,751","257,951","3,836","56,657","1,278","9,743,345","214,046","45,519,891",South America,18,782,5
14,Colombia,"2,569,314","+16,377","66,482",+326,"2,408,624","+12,891","94,208","4,299","50,078","1,296","13,439,422","261,944","51,306,497",South America,20,772,4
15,Mexico,"2,281,840","+1,627","209,702",+364,"1,812,694","+2,773","259,444","4,798","17,554","1,613","6,279,527","48,307","129,990,868",North America,57,620,21
16,Iran,"2,118,212","+24,760","65,055",+291,"1,729,293","+9,209","323,864","4,481","24,970",767,"13,866,887","163,463","84,831,939",Asia,40,"1,304",6
17,Ukraine,"1,872,785","+11,680","37,758",+457,"1,430,234","+14,019","404,793",177,"43,025",867,"8,716,400","200,251","43,527,334",Europe,23,"1,153",5
18,Peru,"1,659,707","+6,387","55,489",+259,"1,584,425","+9,183","19,793","2,599","49,796","1,665","10,086,002","302,609","33,330,131",South America,20,601,3
19,Czechia,"1,585,091","+3,870","28,086",+74,"1,480,624",+314,"76,381","1,144","147,800","2,619","14,635,011","1,364,627","10,724,549",Europe,7,382,1
20,Indonesia,"1,577,526","+5,702","42,782",+126,"1,426,145","+6,349","108,599","5,720",155,"13,510,828","48,991","275,782,804",Asia,175,"6,446",20
21,South Africa,"1,559,960",+847,"53,423",+67,"1,485,315",+959,"21,222",546,"26,046",892,"10,181,143","169,991","59,892,296",Africa,38,"1,121",6
22,Netherlands,"1,364,025","+6,685","16,820",+29,N/A,N/A,N/A,782,"79,467",980,"11,292,587","657,901","17,164,578",Europe,13,"1,020",2
23,Chile,"1,088,710","+5,790","24,518",+35,"1,020,925","+8,021","43,267","3,203","56,573","1,274","12,021,128","624,654","19,244,471",South America,18,785,2
24,Canada,"1,078,562","+7,546","23,392",+36,"976,877","+4,352","78,293",928,"28,383",616,"29,251,338","769,756","38,000,812",North America,35,"1,625",1
25,Romania,"1,012,373","+3,883","25,441",+193,"915,464","+5,166","71,468","1,530","52,902","1,329","7,736,296","404,262","19,136,844",Europe,19,752,2
26,Iraq,"941,078","+8,179","14,796",+39,"826,323","+5,791","99,959",477,"22,996",362,"8,599,946","210,144","40,924,041",Asia,43,"2,766",5
27,Belgium,"927,229","+1,753","23,503",+30,"59,873",+119,"843,853",899,"79,733","2,021","11,723,475","1,008,114","11,629,113",Europe,13,495,1
28,Sweden,"885,385","+8,873","13,684",N/A,N/A,N/A,391,"87,243","1,348","7,847,033","773,218","10,148,535",Europe,11,742,1
29,Philippines,"884,758","+8,546","15,285",+136,"703,885",+322,"165,588",750,"7,991",138,"10,857,391","98,063","110,719,062",Asia,125,"7,244",10
30,Israel,"836,334",+176,"6,309",+5,"826,768",+274,"3,257",231,"90,930",686,"13,838,957","1,504,629","9,197,590",Asia,11,"1,458",1
31,Portugal,"828,173",+408,"16,923",+5,"785,809",+746,"25,441",118,"81,406","1,663","9,563,681","940,070","10,173,374",Europe,12,601,1
32,Pakistan,"729,920","+4,318","15,619",+118,"638,267","+3,432","76,034","4,198","3,255",70,"10,829,994","48,299","224,230,425",Asia,307,"14,356",21
33,Hungary,"728,078","+2,837","23,980",+272,"431,124","+2,050","272,974","1,209","75,518","2,487","4,976,613","516,187","9,641,101",Europe,13,402,2
34,Bangladesh,"697,985","+6,028","9,891",+69,"585,966","+4,853","102,128","4,205",60,"5,070,788","30,552","165,971,278",Asia,238,"16,780",33
