#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
29,Sweden,"938,343","+6,251","13,891",,"752,021","+7,616","172,431",403,"92,445","1,369","8,151,774","803,111","10,150,252",Europe,11,731,1,616,,"16,988"
30,Israel,"837,807",+315,"6,346",,"829,424",+297,"2,037",161,"91,090",690,"14,014,683","1,523,734","9,197,590",Asia,11,"1,449",1,34,,221
31,Portugal,"832,891",+636,"16,956",+4,"791,171",+521,"24,764",104,"81,876","1,667","10,047,412","987,697","10,172,565",Europe,12,600,1,63,0.4,"2,434"
32,Pakistan,"778,238","+5,857","16,698",+98,"676,605","+3,986","84,935","4,593","3,469",74,"11,377,423","50,713","224,347,808",Asia,288,"13,436",20,26,0.4,379
33,Hungary,"760,967","+3,607","26,001",+214,"469,592","+4,842","265,374",876,"78,935","2,697","5,205,923","540,009","9,640,433",Europe,13,371,2,374,22,"27,527"
34,Bangladesh,"736,074","+4,014","10,781",+98,"642,449","+7,266","82,844",,"4,434",65,"5,277,112","31,787","166,016,073",Asia,226,"15,399",31,24,0.6,499
35,Jordan,"697,487","+2,097","8,474",+45,"658,287","+3,794","30,726",729,"67,816",824,"6,564,997","638,306","10,285,037",Asia,15,"1,214",2,204,4,"2,987"
36,Serbia,"673,520","+2,719","6,130",+35,"608,270","+4,096","59,120",219,"77,338",704,"3,741,146","429,583","8,708,781",Europe,13,"1,421",2,312,4,"6,789"
37,Switzerland,"644,396","+2,265","10,555",+9,"575,624","+1,838","58,217",248,"74,019","1,212","6,692,508","768,737","8,705,848",Europe,14,825,1,260,1,"6,687"
38,Austria,"602,494","+2,405","10,026",+29,"565,513","+2,257","26,955",527,"66,589","1,108","29,905,570","3,305,209","9,048,013",Europe,15,902,0,266,3,"2,979"
39,Japan,"546,433","+5,299","9,764",+54,"491,661","+2,717","45,008",805,"4,331",77,"11,177,177","88,594","126,162,025",Asia,231,"12,921",11,42,0.4,357
40,Lebanon,"516,600","+1,512","7,057",+30,"437,808","+3,821","71,735",717,"75,964","1,038","3,870,650","569,162","6,800,612",Asia,13,964,2,222,4,"10,548"
41,Morocco,"507,938",+600,"8,976",+7,"493,873",+520,"5,089",221,"13,631",241,"6,195,702","166,265","37,264,062",Africa,73,"4,152",6,16,0.2,137
42,UAE,"504,872","+2,081","1,565",+4,"486,920","+1,842","16,387",,"50,553",157,"42,496,398","4,255,193","9,986,950",Asia,20,"6,381",0,208,0.4,"1,641"
43,Saudi Arabia,"409,093","+1,055","6,869",+11,"392,448","+1,086","9,776","1,182","11,605",195,"16,414,039","465,629","35,251,332",Asia,86,"5,132",2,30,0.3,277
44,Bulgaria,"394,594","+1,681","15,721",+103,"321,400","+3,192","57,473",781,"57,139","2,276","2,419,383","350,335","6,905,909",Europe,18,439,3,243,15,"8,322"
45,Malaysia,"384,688","+2,875","1,407",+7,"361,267","+2,541","22,014",248,"11,764",43,"8,849,606","270,622","32,700,950",Asia,85,"23,242",4,88,0.2,673
46,Slovakia,"378,150",+677,"11,357",+53,"255,300",,"111,493",387,"69,236","2,079","2,527,366","462,736","5,461,787",Europe,14,481,2,124,10,"20,413"
47,Ecuador,"365,393","+2,550","17,965",+161,"309,541",,"37,887",636,"20,460","1,006","1,244,265","69,671","17,859,251",South America,49,994,14,143,9,"2,121"
48,Panama,"361,992",+314,"6,198",+2,"351,949",+367,"3,845",105,"82,844","1,418","2,330,456","533,338","4,369,567",North America,12,705,2,72,0.5,880
49,Belarus,"348,486","+1,170","2,463",+10,"338,927","+1,307","7,096",,"36,889",261,"5,723,427","605,859","9,446,801",Europe,27,"3,835",2,124,1,751
50,Greece,"326,395","+2,756","9,788",+75,"284,050","+5,360","32,557",822,"31,440",943,"7,692,455","740,964","10,381,684",Europe,32,"1,061",1,265,7,"3,136"
51,Croatia,"316,308","+2,885","6,738",+46,"293,454","+2,103","16,116",226,"77,437","1,650","1,734,234","424,570","4,084,688",Europe,13,606,2,706,11,"3,945"
52,Azerbaijan,"307,980","+2,047","4,274",+39,"272,575","+2,610","31,131",,"30,155",418,"3,153,877","308,807","10,213,098",Asia,33,"2,390",3,200,4,"3,048"
53,Georgia,"300,264","+1,226","3,981",+10,"283,557",+688,"12,726",,"75,387","1,000","3,974,715","997,932","3,982,951",Asia,13,"1,000",1,308,3,"3,195"
54,Kazakhstan,"297,839","+2,893","3,483",+24,"254,971","+2,373","39,385",221,"15,710",184,"9,709,890","512,174","18,958,176",Asia,64,"5,443",2,153,1,"2,077"
55,Tunisia,"294,138","+2,305","10,063",+70,"244,517","+2,279","39,558",498,"24,679",844,"1,257,117","105,475","11,918,595",Africa,41,"1,184",9,193,6,"3,319"
56,Bolivia,"293,061","+1,386","12,731",+36,"241,563","+1,227","38,767",71,"24,832","1,079","1,082,188","91,698","11,801,593",South America,40,927,11,117,3,"3,285"
