#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
Asia,"32,588,924","+371,874","458,542","+2,726","28,639,217","+235,076","3,491,165","28,756",Asia
North America,"37,184,535","+95,798","842,974","+1,568","28,860,940","+87,693","7,480,621","17,031",North America
South America,"23,031,584","+156,256","612,214","+5,357","20,649,343","+121,564","1,770,027","24,332",South America
Europe,"42,365,606","+199,467","966,569","+3,864","36,604,467","+155,126","4,794,570","32,929",Europe
Africa,"4,433,974","+12,678","117,363",+313,"3,963,106","+8,882","353,505","3,812",Africa
Oceania,"60,584",+233,"1,166",+11,"34,729",+7,"24,689",4,Australia/Oceania
721,15,706,0,0
World,"139,665,928","+836,306","2,998,843","+13,839","118,752,508","+608,348","17,914,577","106,864","17,918",384.7,All
1,China,"90,457",+10,"4,636","85,524",+11,297,5,63,3,"160,000,000","111,163","1,439,323,776",Asia,"15,912","310,467",9
2,USA,"32,224,139","+74,479","578,993",+895,"24,770,980","+74,819","6,874,166","9,759","96,905","1,741","424,903,332","1,277,782","332,532,050",North America,10,574,1
3,India,"14,287,740","+216,850","174,335","+1,183","12,543,978","+117,832","1,569,427","8,944","10,274",125,"262,003,415","188,400","1,390,679,153",Asia,97,"7,977",5
4,Brazil,"13,758,093","+80,529","365,954","+3,774","12,236,295","+65,524","1,155,844","8,318","64,366","1,712","28,600,000","133,802","213,749,436",South America,16,584,7
5,France,"5,187,879","+38,045","100,073",+296,"4,008,331","+29,975","1,079,475","5,924","79,341","1,530","71,017,438","1,086,102","65,387,466",Europe,13,653,1
6,Russia,"4,675,153","+8,944","104,398",+398,"4,301,448","+10,225","269,307","2,300","32,025",715,"124,700,000","854,204","145,983,862",Europe,31,"1,398",1
7,UK,"4,380,976","+2,672","127,191",+30,"4,113,338","140,447",351,"64,268","1,866","139,824,361","2,051,201","68,167,060",Europe,16,536,0
8,Turkey,"4,086,957","+61,400","35,031",+297,"3,535,040","+54,894","516,886","3,080","48,052",412,"42,828,122","503,547","85,052,838",Asia,21,"2,428",2
9,Italy,"3,826,156","+16,974","115,937",+380,"3,200,196","+21,220","510,023","3,417","63,356","1,920","54,204,890","897,557","60,391,595",Europe,16,521,1
10,Spain,"3,396,685","+9,663","76,882",+126,"3,123,268","+4,831","196,535","2,143","72,627","1,644","44,285,495","946,897","46,769,075",Europe,14,608,1
11,Germany,"3,095,016","+30,634","80,141",+328,"2,736,100","+17,400","278,775","4,662","36,848",954,"52,737,238","627,860","83,995,236",Europe,27,"1,048",2
12,Poland,"2,642,242","+21,130","60,612",+682,"2,238,638","+8,837","342,992","3,443","69,875","1,603","13,335,088","352,651","37,813,871",Europe,14,624,3
